,f1,f2,cor
181,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.DELETE_PACKAGES,0.0
182,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.microphone,0.0
183,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.bluetooth,0.0
184,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.bluetooth_le,0.0
185,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.camera,0.0
186,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.camera.any,0.0
187,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.camera.autofocus,0.0
188,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.camera.flash,0.0
189,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,0.0
190,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.camera.front,0.0
191,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.location,0.0
192,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.location.gps,0.0
193,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.location.network,0.0
194,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.nfc,0.0
195,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.nfc.hce,0.0
196,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.sensor.accelerometer,0.0
197,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.sensor.barometer,0.0
198,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.sensor.compass,0.0
199,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.fingerprint,0.0
200,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.INJECT_EVENTS,0.0
201,android.permission.ACCESS_NOTIFICATION_POLICY,com.google.android.gms.auth.cryptauth.permission.KEY_CHANGE,0.0
202,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.WAKE_LOCK,0.0
203,android.permission.ACCESS_NOTIFICATION_POLICY,com.google.android.apps.now.CURRENT_ACCOUNT_ACCESS,0.0
204,android.permission.ACCESS_NOTIFICATION_POLICY,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,0.0
205,android.permission.ACCESS_NOTIFICATION_POLICY,com.android.chrome.permission.C2D_MESSAGE,0.0
206,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.BROADCAST_PACKAGE_REMOVED,0.0
207,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.FORCE_STOP_PACKAGES,0.0
208,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.VIBRATE,0.0
209,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.BIND_ACCESSIBILITY_SERVICE,0.0
210,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.READ_USER_DICTIONARY,0.0
211,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.ACCESS_WIFI_STATE,0.0
212,android.permission.ACCESS_NOTIFICATION_POLICY,com.google.android.apps.enterprise.dmagent.permission.C2D_MESSAGE,0.0
213,android.permission.ACCESS_NOTIFICATION_POLICY,com.google.android.gms.permission.BROADCAST_TO_GOOGLEHELP,0.0
214,android.permission.ACCESS_NOTIFICATION_POLICY,com.android.chrome.permission.READ_WRITE_BOOKMARK_FOLDERS,0.0
215,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.REQUEST_INSTALL_PACKAGES,0.0
216,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.MODIFY_PHONE_STATE,0.0
217,android.permission.ACCESS_NOTIFICATION_POLICY,com.android.launcher.permission.INSTALL_SHORTCUT,0.0
218,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.STATUS_BAR,0.0
219,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.READ_FRAME_BUFFER,0.0
220,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.QUERY_ALL_PACKAGES,0.0
221,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.DUMP,0.0
222,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.sensor.gyroscope,0.0
223,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.READ_SYNC_SETTINGS,0.0
224,android.permission.ACCESS_NOTIFICATION_POLICY,android.hardware.sensor.stepcounter,0.0
